Geography,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!RACE!!Total population!!One race!!White,Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
8600000US12865,ZCTA5 12865,3470,3269,71,1,3470,47
8600000US12866,ZCTA5 12866,38732,34830,1329,1099,38732,1332
8600000US12870,ZCTA5 12870,1736,1712,5,4,1736,3
8600000US12871,ZCTA5 12871,4361,4133,137,20,4361,101
8600000US12872,ZCTA5 12872,91,91,0,0,91,0
8600000US12873,ZCTA5 12873,875,862,2,0,875,20
8600000US12874,ZCTA5 12874,173,171,0,0,173,0
8600000US12878,ZCTA5 12878,663,648,8,0,663,14
8600000US12883,ZCTA5 12883,4790,4706,7,34,4790,6
8600000US12884,ZCTA5 12884,593,568,14,0,593,20
8600000US12885,ZCTA5 12885,4437,4299,50,48,4437,185
8600000US12886,ZCTA5 12886,273,261,0,0,273,0
8600000US12887,ZCTA5 12887,4857,4524,7,0,4857,84
8600000US12901,ZCTA5 12901,33048,29966,1002,646,33048,943
8600000US12903,ZCTA5 12903,1306,1207,16,52,1306,16
8600000US12910,ZCTA5 12910,2190,1735,276,17,2190,158
8600000US12911,ZCTA5 12911,0,0,0,0,0,0
8600000US12912,ZCTA5 12912,1903,1889,0,0,1903,28
8600000US12913,ZCTA5 12913,1059,1054,0,0,1059,0
8600000US12914,ZCTA5 12914,891,818,0,0,891,0
8600000US12916,ZCTA5 12916,2436,2135,90,0,2436,45
8600000US12917,ZCTA5 12917,1344,1225,31,5,1344,59
8600000US12918,ZCTA5 12918,2641,2429,18,0,2641,72
8600000US12919,ZCTA5 12919,2805,2734,7,8,2805,9
8600000US12920,ZCTA5 12920,2387,2266,12,4,2387,78
8600000US12921,ZCTA5 12921,2835,2653,16,6,2835,26
8600000US12922,ZCTA5 12922,32,31,0,0,32,0
8600000US12923,ZCTA5 12923,555,549,2,0,555,3
8600000US12924,ZCTA5 12924,59,59,0,0,59,0
8600000US12926,ZCTA5 12926,2380,2297,15,0,2380,50
8600000US12927,ZCTA5 12927,276,276,0,0,276,0
8600000US12928,ZCTA5 12928,2029,2003,2,1,2029,52
8600000US12929,ZCTA5 12929,4103,1583,1899,9,4103,711
8600000US12930,ZCTA5 12930,815,714,0,11,815,3
8600000US12932,ZCTA5 12932,1210,1056,37,0,1210,45
8600000US12933,ZCTA5 12933,65,48,0,0,65,17
8600000US12934,ZCTA5 12934,1059,1047,0,7,1059,0
8600000US12935,ZCTA5 12935,1428,1369,4,0,1428,13
8600000US12936,ZCTA5 12936,420,409,2,0,420,2
8600000US12937,ZCTA5 12937,1880,1373,87,13,1880,39
8600000US12939,ZCTA5 12939,155,155,0,0,155,0
8600000US12941,ZCTA5 12941,1402,1365,16,0,1402,24
8600000US12942,ZCTA5 12942,663,633,0,0,663,16
8600000US12943,ZCTA5 12943,314,308,0,0,314,0
8600000US12944,ZCTA5 12944,3683,3549,44,1,3683,51
8600000US12945,ZCTA5 12945,449,449,0,0,449,0
8600000US12946,ZCTA5 12946,4819,4630,58,12,4819,133
8600000US12950,ZCTA5 12950,674,622,35,0,674,7
8600000US12952,ZCTA5 12952,305,273,5,11,305,1
8600000US12953,ZCTA5 12953,15469,12123,2184,89,15469,1036
8600000US12955,ZCTA5 12955,366,351,0,0,366,0
8600000US12956,ZCTA5 12956,1180,1042,85,0,1180,51
8600000US12957,ZCTA5 12957,1559,1548,0,0,1559,0
